verdict,credit_at_stake,canonical_id,canonical_name,canonical_country,duplicate_id,duplicate_name,duplicate_country,group_total
"DO NOT MERGE: different countries, distinct institutions",0.1,https://openalex.org/I150263970,Jagannath University,IN,https://openalex.org/I4210125938,Jagannath University,BD,0.6
"DO NOT MERGE: different countries, distinct institutions",0.1,https://openalex.org/I184614866,Far Eastern University,TH,https://openalex.org/I4210140868,Far Eastern University,PH,0.3
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I900890020,University of Palermo,IT,https://openalex.org/I4210139084,University of Palermo,AR,71.0
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I922845939,Philadelphia University,US,https://openalex.org/I153921779,Philadelphia University,JO,31.1
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I4210088717,University of the West Indies,TT,https://openalex.org/I4210103039,University of the West Indies,BS,8.6
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I142823887,St. John's University,US,https://openalex.org/I4210097625,St. John's University,TW,2.9
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I155673605,Union University,US,https://openalex.org/I4210105304,Union University,RS,0.9
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I142879360,Universidad del Norte,CO,https://openalex.org/I4210120932,Universidad del Norte,,3.3
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I4210102282,Universidad de Las Américas,EC,https://openalex.org/I4210087759,Universidad de las Américas,NI,2.7
"DO NOT MERGE: different countries, distinct institutions",0.0,https://openalex.org/I55464072,Universidad Metropolitana,PR,https://openalex.org/I4210091419,Universidad Metropolitana,CO,0.3
