institution_id,institution_name,area,year,pub_count,adjusted_count
https://openalex.org/I173761726,Karabük University,powerelec,2019,1,0.33333
https://openalex.org/I120825670,Yunnan Normal University,powerelec,2019,1,0.33333
https://openalex.org/I87208437,University of Tulsa,powerelec,2019,1,0.33333
https://openalex.org/I167694869,Bu-Ali Sina University,powerelec,2019,1,0.33333
https://openalex.org/I204465549,Washington University in St. Louis,powerelec,2019,1,0.33333
https://openalex.org/I8778637,National Institute of Technology Srinagar,powerelec,2019,1,0.33333
https://openalex.org/I56306041,Lebanese American University,powerelec,2019,1,0.33333
https://openalex.org/I144889574,Université de Pau et des Pays de l'Adour,powerelec,2019,1,0.33333
https://openalex.org/I119575151,Korea National University of Transportation,powerelec,2019,1,0.33333
https://openalex.org/I47265099,Ho Chi Minh City University of Technology,powerelec,2020,1,0.33333
https://openalex.org/I49934816,Hunan University of Technology,powerelec,2020,2,0.33333
https://openalex.org/I143601524,Public Authority for Applied Education and Training,powerelec,2020,1,0.33333
https://openalex.org/I107720978,Ain Shams University,powerelec,2020,1,0.33333
https://openalex.org/I4210086811,Islamic Azad University Sari Branch,powerelec,2020,1,0.33333
https://openalex.org/I50632499,Chongqing University of Technology,powerelec,2020,1,0.33333
https://openalex.org/I159389169,Ningbo University of Technology,powerelec,2020,1,0.33333
https://openalex.org/I102461120,Marquette University,powerelec,2020,1,0.33333
https://openalex.org/I154851008,Indian Institute of Technology Roorkee,powerelec,2020,1,0.33333
https://openalex.org/I119575151,Korea National University of Transportation,powerelec,2020,1,0.33333
https://openalex.org/I192703390,Ming Chuan University,powerelec,2020,1,0.33333
https://openalex.org/I2799850029,Dongguan University of Technology,powerelec,2020,1,0.33333
https://openalex.org/I2800363144,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",powerelec,2020,1,0.33333
https://openalex.org/I127908078,Shahrekord University,powerelec,2020,1,0.33333
https://openalex.org/I23075662,Taibah University,powerelec,2020,1,0.33333
https://openalex.org/I123900574,Pohang University of Science and Technology,powerelec,2020,1,0.33333
https://openalex.org/I885383172,National University of Malaysia,powerelec,2021,1,0.33333
https://openalex.org/I79156528,Universiti Tenaga Nasional,powerelec,2021,1,0.33333
https://openalex.org/I4210112351,Islamic Azad University of Ahar,powerelec,2021,1,0.33333
https://openalex.org/I63098007,Liverpool John Moores University,powerelec,2021,1,0.33333
