institution_id,institution_name,area,venue,year,pub_count,adjusted_count
https://openalex.org/I97018004,Stanford University,flagship,pnas,2023,0,58.99797
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2022,0,58.98685
https://openalex.org/I76130692,Zhejiang University,image,cvpr,2024,0,58.81703
https://openalex.org/I150229711,University of Electronic Science and Technology of China,devices,ted,2025,0,58.54021
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2024,0,58.52835
https://openalex.org/I889458895,University of Hong Kong,flagship,nat-comms,2025,0,58.48475
https://openalex.org/I165932596,National University of Singapore,flagship,nat-comms,2024,0,58.46804
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,iccv,2025,0,58.46179
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2020,0,58.3877
https://openalex.org/I136199984,Harvard University,flagship,nature,2020,0,58.2005
https://openalex.org/I37461747,Wuhan University,flagship,nat-comms,2025,0,57.59647
https://openalex.org/I35440088,ETH Zurich,flagship,nat-comms,2021,0,57.53691
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2023,0,57.4269
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2018,0,57.34605
https://openalex.org/I20231570,Peking University,image,cvpr,2024,0,57.26989
https://openalex.org/I20231570,Peking University,image,cvpr,2025,0,57.10458
https://openalex.org/I204983213,Harbin Institute of Technology,powerelec,tpel,2024,0,57.00992
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2017,0,56.99702
https://openalex.org/I35440088,ETH Zurich,flagship,nat-comms,2023,0,56.7405
https://openalex.org/I126520041,University of Science and Technology of China,flagship,nat-comms,2022,0,56.73782
https://openalex.org/I136199984,Harvard University,flagship,nature,2023,0,56.73748
https://openalex.org/I126520041,University of Science and Technology of China,image,cvpr,2025,0,56.73397
https://openalex.org/I36258959,University of California San Diego,flagship,nat-comms,2025,0,56.65031
https://openalex.org/I136199984,Harvard University,flagship,nature,2016,0,56.40434
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2023,0,56.34385
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2020,0,56.22033
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,nat-comms,2021,0,56.04931
https://openalex.org/I136199984,Harvard University,flagship,nature,2017,0,55.99263
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2017,0,55.88466
https://openalex.org/I47508984,Imperial College London,flagship,nat-comms,2025,0,55.76607
https://openalex.org/I126520041,University of Science and Technology of China,sigproc,icassp,2025,0,55.75159
https://openalex.org/I136199984,Harvard University,flagship,nature,2025,0,55.5073
https://openalex.org/I161318765,"University of California, Los Angeles",flagship,nat-comms,2025,0,55.4531
https://openalex.org/I24943067,Fudan University,flagship,nat-comms,2023,0,55.19617
https://openalex.org/I76130692,Zhejiang University,image,iccv,2023,0,55.1746
https://openalex.org/I97018004,Stanford University,flagship,nature,2025,0,55.11772
https://openalex.org/I891191580,Aalborg University,powerelec,tpel,2020,0,54.87579
https://openalex.org/I74801974,The University of Tokyo,flagship,nat-comms,2023,0,54.7824
https://openalex.org/I99065089,Tsinghua University,sigproc,icassp,2023,0,54.74405
https://openalex.org/I97018004,Stanford University,flagship,nature,2024,0,54.73145
https://openalex.org/I32971472,Yale University,flagship,nat-comms,2024,0,54.63236
https://openalex.org/I99065089,Tsinghua University,image,iccv,2023,0,54.41959
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2021,0,54.25458
https://openalex.org/I99065089,Tsinghua University,sigproc,icassp,2025,0,54.00626
https://openalex.org/I3045169105,Southern University of Science and Technology,flagship,nat-comms,2024,0,53.94608
